20240228113709, 88:9C:AD:72:B7:8D, SIT-POLY, 87
20240228113709, 88:9C:AD:E1:1D:4D, SIT-POLY, 74
20240228113709, 88:9C:AD:E0:D1:4D, SIT-POLY, 65
20240228113709, 88:9C:AD:E0:30:2D, SIT-POLY, 64
20240228113709, 88:9C:AD:E0:88:CD, SIT-POLY, 59
20240228113709, 88:9C:AD:70:34:CD, SIT-POLY, 54
20240228113709, 88:9C:AD:70:53:6D, SIT-POLY, 52
20240228113709, 88:9C:AD:E1:5E:4D, SIT-POLY, 52
20240228113709, 88:9C:AD:71:0F:2D, SIT-POLY, 44
20240228113709, 88:9C:AD:71:51:8D, SIT-POLY, 35
20240228113709, 88:9C:AD:E1:20:2D, SIT-POLY, 30
20240228113709, 88:9C:AD:6F:C4:ED, SIT-POLY, 30
20240228120114, 88:9C:AD:72:B7:8D, SIT-POLY, 85
20240228120114, 88:9C:AD:E1:1D:4D, SIT-POLY, 65
20240228120114, 88:9C:AD:E0:D1:4D, SIT-POLY, 65
20240228120114, 88:9C:AD:E0:88:CD, SIT-POLY, 62
20240228120114, 88:9C:AD:70:53:6D, SIT-POLY, 57
20240228120114, 88:9C:AD:E1:5E:4D, SIT-POLY, 54
20240228120114, 88:9C:AD:70:34:CD, SIT-POLY, 47
20240228120114, 88:9C:AD:77:CA:2D, SIT-POLY, 42
20240228120114, 88:9C:AD:E1:20:2D, SIT-POLY, 30
20240228120114, 88:9C:AD:6F:C4:ED, SIT-POLY, 27
20240228122949, 88:9C:AD:72:B7:8D, SIT-POLY, 85
20240228122949, 88:9C:AD:E1:1D:4D, SIT-POLY, 62
20240228122949, 88:9C:AD:E0:30:2D, SIT-POLY, 62
20240228122949, 88:9C:AD:E1:5E:4D, SIT-POLY, 55
20240228122949, 88:9C:AD:E0:88:CD, SIT-POLY, 55
20240228122949, 88:9C:AD:71:51:8D, SIT-POLY, 55
20240228122949, 88:9C:AD:E0:D1:4D, SIT-POLY, 54
20240228122949, 88:9C:AD:70:53:6D, SIT-POLY, 50
20240228122949, 88:9C:AD:70:34:CD, SIT-POLY, 50
20240228122949, 88:9C:AD:77:CA:2D, SIT-POLY, 44
20240228122949, 88:9C:AD:6F:C4:ED, SIT-POLY, 34
20240228130120, 88:9C:AD:72:B7:8D, SIT-POLY, 82
20240228130120, 88:9C:AD:E0:30:2D, SIT-POLY, 69
20240228130120, 88:9C:AD:70:53:6D, SIT-POLY, 62
20240228130120, 88:9C:AD:E1:1D:4D, SIT-POLY, 62
20240228130120, 88:9C:AD:E0:D1:4D, SIT-POLY, 57
20240228130120, 88:9C:AD:E0:88:CD, SIT-POLY, 55
20240228130120, 88:9C:AD:70:34:CD, SIT-POLY, 47
20240228130120, 88:9C:AD:E1:5E:4D, SIT-POLY, 45
20240228130120, 88:9C:AD:77:CA:2D, SIT-POLY, 32
20240228130120, 88:9C:AD:E1:20:2D, SIT-POLY, 27
20240228130120, 88:9C:AD:6F:C4:ED, SIT-POLY, 22
20240228133131, 88:9C:AD:72:B7:8D, SIT-POLY, 84
20240228133131, 88:9C:AD:E0:30:2D, SIT-POLY, 69
20240228133131, 88:9C:AD:E1:5E:4D, SIT-POLY, 60
20240228133131, 88:9C:AD:70:53:6D, SIT-POLY, 55
20240228133131, 88:9C:AD:E1:1D:4D, SIT-POLY, 55
20240228133131, 88:9C:AD:E0:D1:4D, SIT-POLY, 55
20240228133131, 88:9C:AD:71:51:8D, SIT-POLY, 54
20240228133131, 88:9C:AD:70:34:CD, SIT-POLY, 54
20240228133131, 88:9C:AD:E0:88:CD, SIT-POLY, 52
20240228133131, 88:9C:AD:77:CA:2D, SIT-POLY, 30
20240228133131, 88:9C:AD:6F:C4:ED, SIT-POLY, 29
20240228133131, 88:9C:AD:E1:20:2D, SIT-POLY, 27
20240228140157, 88:9C:AD:72:B7:8D, SIT-POLY, 87
20240228140157, 88:9C:AD:E1:1D:4D, SIT-POLY, 69
20240228140157, 88:9C:AD:E0:D1:4D, SIT-POLY, 62
20240228140157, 88:9C:AD:E1:5E:4D, SIT-POLY, 55
20240228140157, 88:9C:AD:E0:30:2D, SIT-POLY, 55
20240228140157, 88:9C:AD:70:53:6D, SIT-POLY, 54
20240228140157, 88:9C:AD:E0:88:CD, SIT-POLY, 54
20240228140157, 88:9C:AD:77:CA:2D, SIT-POLY, 39
20240228140157, 88:9C:AD:E1:20:2D, SIT-POLY, 37
20240228140157, 88:9C:AD:6F:C4:ED, SIT-POLY, 32
20240228140316, 88:9C:AD:72:B7:8D, SIT-POLY, 82
20240228140316, 88:9C:AD:6F:C4:ED, SIT-POLY, 74
20240228140316, 88:9C:AD:71:51:8D, SIT-POLY, 74
20240228140316, 88:9C:AD:E1:5E:4D, SIT-POLY, 69
20240228140316, 88:9C:AD:71:16:4D, SIT-POLY, 65
20240228140316, 88:9C:AD:70:53:6D, SIT-POLY, 64
20240228140316, 88:9C:AD:E1:1D:4D, SIT-POLY, 64
20240228140316, 88:9C:AD:E0:D1:4D, SIT-POLY, 64
20240228140316, 88:9C:AD:E0:30:2D, SIT-POLY, 59
20240228140316, 88:9C:AD:E0:88:CD, SIT-POLY, 54
20240228140316, 88:9C:AD:77:CA:2D, SIT-POLY, 40
20240228140316, 88:9C:AD:E1:20:2D, SIT-POLY, 30
20240228143033, 88:9C:AD:72:B7:8D, SIT-POLY, 85
20240228143033, 88:9C:AD:E1:1D:4D, SIT-POLY, 65
20240228143033, 88:9C:AD:E0:D1:4D, SIT-POLY, 65
20240228143033, 88:9C:AD:E0:30:2D, SIT-POLY, 62
20240228143033, 88:9C:AD:70:53:6D, SIT-POLY, 57
20240228143033, 88:9C:AD:71:51:8D, SIT-POLY, 52
20240228143033, 88:9C:AD:E0:88:CD, SIT-POLY, 50
20240228143033, 88:9C:AD:E1:5E:4D, SIT-POLY, 49
20240228143033, 88:9C:AD:6F:C4:ED, SIT-POLY, 32
20240228143033, 88:9C:AD:77:CA:2D, SIT-POLY, 30
20240228143220, 88:9C:AD:72:B7:8D, SIT-POLY, 79
20240228143220, 88:9C:AD:6F:C4:ED, SIT-POLY, 72
20240228143220, 88:9C:AD:71:16:4D, SIT-POLY, 69
20240228143220, 88:9C:AD:E1:5E:4D, SIT-POLY, 67
20240228143220, 88:9C:AD:71:51:8D, SIT-POLY, 67
20240228143220, 88:9C:AD:E0:D1:4D, SIT-POLY, 65
20240228143220, 88:9C:AD:70:53:6D, SIT-POLY, 64
20240228143220, 88:9C:AD:E1:1D:4D, SIT-POLY, 64
20240228143220, 88:9C:AD:E0:30:2D, SIT-POLY, 59
20240228143220, 88:9C:AD:70:34:CD, SIT-POLY, 49
20240228143220, 88:9C:AD:E0:88:CD, SIT-POLY, 45
20240228143220, 88:9C:AD:77:CA:2D, SIT-POLY, 37
20240228150110, 88:9C:AD:72:B7:8D, SIT-POLY, 89
20240228150110, 88:9C:AD:E1:1D:4D, SIT-POLY, 67
20240228150110, 88:9C:AD:E0:30:2D, SIT-POLY, 65
20240228150110, 88:9C:AD:E0:88:CD, SIT-POLY, 57
20240228150110, 88:9C:AD:E0:D1:4D, SIT-POLY, 54
20240228150110, 88:9C:AD:70:53:6D, SIT-POLY, 52
20240228150110, 88:9C:AD:E1:5E:4D, SIT-POLY, 52
20240228150110, 88:9C:AD:77:CA:2D, SIT-POLY, 35
20240228150110, 88:9C:AD:E1:20:2D, SIT-POLY, 30
20240228153111, 88:9C:AD:72:B7:8D, SIT-POLY, 82
20240228153111, 88:9C:AD:E1:1D:4D, SIT-POLY, 69
20240228153111, 88:9C:AD:E0:30:2D, SIT-POLY, 62
20240228153111, 88:9C:AD:70:53:6D, SIT-POLY, 60
20240228153111, 88:9C:AD:E1:5E:4D, SIT-POLY, 60
20240228153111, 88:9C:AD:E0:D1:4D, SIT-POLY, 60
20240228153111, 88:9C:AD:70:34:CD, SIT-POLY, 52
20240228153111, 88:9C:AD:71:51:8D, SIT-POLY, 44
20240228153111, 88:9C:AD:6F:C4:ED, SIT-POLY, 39
20240228153111, 88:9C:AD:77:CA:2D, SIT-POLY, 39
20240228153111, 88:9C:AD:E1:20:2D, SIT-POLY, 34
20240228153111, 88:9C:AD:77:05:AD, SIT-POLY, 32
20240228153414, 88:9C:AD:72:B7:8D, SIT-POLY, 80
20240228153414, 88:9C:AD:71:51:8D, SIT-POLY, 70
20240228153414, 88:9C:AD:E1:1D:4D, SIT-POLY, 69
20240228153414, 88:9C:AD:E1:5E:4D, SIT-POLY, 65
20240228153414, 88:9C:AD:6F:C4:ED, SIT-POLY, 64
20240228153414, 88:9C:AD:71:16:4D, SIT-POLY, 62
20240228153414, 88:9C:AD:70:53:6D, SIT-POLY, 59
20240228153414, 88:9C:AD:E0:30:2D, SIT-POLY, 59
20240228153414, 88:9C:AD:E0:D1:4D, SIT-POLY, 57
20240228153414, 88:9C:AD:E0:88:CD, SIT-POLY, 50
20240228153414, 88:9C:AD:70:34:CD, SIT-POLY, 50
20240228153414, 88:9C:AD:77:7D:0D, SIT-POLY, 45
20240228153414, 88:9C:AD:77:CA:2D, SIT-POLY, 37
20240228153414, 88:9C:AD:77:05:AD, SIT-POLY, 32
20240228153414, 88:9C:AD:E1:20:2D, SIT-POLY, 29
20240228160035, 88:9C:AD:72:B7:8D, SIT-POLY, 84
20240228160035, 88:9C:AD:E1:1D:4D, SIT-POLY, 65
20240228160035, 88:9C:AD:E0:30:2D, SIT-POLY, 60
20240228160035, 88:9C:AD:70:53:6D, SIT-POLY, 55
20240228160035, 88:9C:AD:E0:88:CD, SIT-POLY, 54
20240228160035, 88:9C:AD:E1:5E:4D, SIT-POLY, 50
20240228160035, 88:9C:AD:71:51:8D, SIT-POLY, 50
20240228160035, 88:9C:AD:E1:20:2D, SIT-POLY, 37
20240228160035, 88:9C:AD:6F:C4:ED, SIT-POLY, 34
20240228160035, 88:9C:AD:77:CA:2D, SIT-POLY, 34
20240228160035, 88:9C:AD:77:05:AD, SIT-POLY, 34
20240228160245, 88:9C:AD:72:B7:8D, SIT-POLY, 84
20240228160245, 88:9C:AD:71:51:8D, SIT-POLY, 75
20240228160245, 88:9C:AD:6F:C4:ED, SIT-POLY, 74
20240228160245, 88:9C:AD:E1:5E:4D, SIT-POLY, 70
20240228160245, 88:9C:AD:E1:1D:4D, SIT-POLY, 65
20240228160245, 88:9C:AD:71:16:4D, SIT-POLY, 64
20240228160245, 88:9C:AD:E0:30:2D, SIT-POLY, 60
20240228160245, 88:9C:AD:70:53:6D, SIT-POLY, 55
20240228160245, 88:9C:AD:E0:88:CD, SIT-POLY, 54
20240228160245, 88:9C:AD:70:34:CD, SIT-POLY, 54
20240228160245, 88:9C:AD:E1:20:2D, SIT-POLY, 37
20240228160245, 88:9C:AD:77:05:AD, SIT-POLY, 32
20240228160245, 88:9C:AD:77:CA:2D, SIT-POLY, 30
